attendance,satisfaction,income
4,0.2666666666666667,12
2,0.06666666666666668,14
9,0.45,27
0,0.0,0
10,0.33333333333333337,30
0,0.0,0
10,0.33333333333333337,30
0,0.0,0
10,0.33333333333333337,30
0,0.0,0
10,0.33333333333333337,30
0,0.0,0
9,0.45,90
0,0.0,0
5,0.4166666666666667,50
5,0.4166666666666667,15
5,0.4166666666666667,25
5,0.4166666666666667,25
4,0.2666666666666667,12
7,0.5833333333333333,21
1,0.016666666666666663,3
10,0.33333333333333337,30
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
7,0.5833333333333333,70
0,0.0,0
10,0.33333333333333337,30
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
10,0.33333333333333337,100
0,0.0,0
9,0.45,90
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
10,0.33333333333333337,50
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
10,0.33333333333333337,100
0,0.0,0
10,0.33333333333333337,50
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
7,0.5833333333333333,70
1,0.016666666666666663,5
4,0.2666666666666667,40
8,0.5333333333333334,24
0,0.0,0
10,0.33333333333333337,50
0,0.0,0
7,0.5833333333333333,70
1,0.016666666666666663,7
6,0.6,42
3,0.15,9
3,0.15,30
2,0.06666666666666668,20
9,0.45,45
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
9,0.45,90
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
7,0.5833333333333333,70
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
10,0.33333333333333337,100
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
7,0.5833333333333333,70
0,0.0,0
7,0.5833333333333333,70
0,0.0,0
7,0.5833333333333333,70
0,0.0,0
8,0.5333333333333334,80
0,0.0,0
9,0.45,90
0,0.0,0
9,0.45,63
0,0.0,0
9,0.45,45
0,0.0,0
6,0.6,60
1,0.016666666666666663,5
10,0.33333333333333337,70
0,0.0,0
