attendance,satisfaction,income
5,0.5,50
5,0.5,50
8,0.0,80
1,0.1,10
9,0.0,90
9,0.0,90
0,0.0,0
9,0.0,90
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
7,0.0,70
1,0.1,10
10,0.0,100
6,0.6,60
1,0.1,10
10,0.0,100
7,0.0,70
0,0.0,0
10,0.0,100
7,0.0,70
1,0.1,10
9,0.0,90
