t,price,attendance,profit,feasible,mean_agent_utility,agent_surplus,social_welfare
0,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
1,10.0,5,47.5,True,-0.27020265546617317,-2.7020265546617317,44.79797344533827
2,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
3,10.0,5,47.5,True,-0.27020265546617317,-2.7020265546617317,44.79797344533827
4,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
5,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
6,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
7,10.0,7,66.9,True,-0.37828371765264246,-3.7828371765264244,63.11716282347357
8,10.0,6,57.2,True,0.0,0.0,57.2
9,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
10,10.0,5,47.5,True,-0.27020265546617317,-2.7020265546617317,44.79797344533827
11,10.0,6,57.2,True,0.0,0.0,57.2
12,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
13,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
14,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
15,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
16,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
17,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
18,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
19,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
20,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
21,10.0,0,-1.0,False,0.0,-0.0,-1.0
22,10.0,0,-1.0,False,0.0,-0.0,-1.0
23,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
24,10.0,0,-1.0,False,0.0,-0.0,-1.0
25,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
26,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
27,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
28,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
29,10.0,0,-1.0,False,0.0,-0.0,-1.0
