t,price,attendance,profit,feasible,mean_agent_utility,agent_surplus,social_welfare
0,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
1,5.2,2,8.8,True,-0.2177754189856252,-2.177754189856252,6.622245810143749
2,8.4,1,7.1000000000000005,False,-0.5906477912227037,-5.906477912227038,1.1935220877729622
3,8.4,0,-1.0,False,0.0,-0.0,-1.0
4,3.6,3,8.9,True,0.7395919791379001,7.395919791379001,16.295919791379003
5,5.2,4,18.6,True,1.122949611667232,11.229496116672319,29.82949611667232
6,5.2,0,-1.0,False,0.0,-0.0,-1.0
7,5.2,1,3.9000000000000004,False,-0.27064779122270377,-2.706477912227038,1.1935220877729622
8,5.2,2,8.8,True,-0.2177754189856252,-2.177754189856252,6.622245810143749
9,5.2,3,13.700000000000001,True,0.2595919791379001,2.595919791379001,16.295919791379003
10,5.2,6,28.400000000000002,True,2.88,28.799999999999997,57.2
11,5.2,1,3.9000000000000004,False,-0.27064779122270377,-2.706477912227038,1.1935220877729622
12,5.2,1,3.9000000000000004,False,-0.27064779122270377,-2.706477912227038,1.1935220877729622
13,5.2,3,13.700000000000001,True,0.2595919791379001,2.595919791379001,16.295919791379003
14,5.2,8,38.2,True,2.245899223334464,22.458992233344638,60.65899223334464
15,6.800000000000001,2,12.000000000000002,True,-0.5377754189856253,-5.377754189856253,6.622245810143749
16,6.800000000000001,4,25.000000000000004,True,0.4829496116672317,4.829496116672317,29.82949611667232
17,6.800000000000001,3,18.500000000000004,True,-0.22040802086210007,-2.2040802086210007,16.295919791379003
18,6.800000000000001,7,44.50000000000001,True,1.861716282347357,18.61716282347357,63.11716282347357
19,6.800000000000001,0,-1.0,False,0.0,-0.0,-1.0
20,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
21,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
22,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
23,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
24,10.0,0,-1.0,False,0.0,-0.0,-1.0
25,6.800000000000001,1,5.500000000000001,False,-0.4306477912227038,-4.306477912227038,1.1935220877729622
26,6.800000000000001,1,5.500000000000001,False,-0.4306477912227038,-4.306477912227038,1.1935220877729622
27,6.800000000000001,2,12.000000000000002,True,-0.5377754189856253,-5.377754189856253,6.622245810143749
28,6.800000000000001,5,31.5,True,1.3297973445338265,13.297973445338265,44.79797344533827
29,6.800000000000001,3,18.500000000000004,True,-0.22040802086210007,-2.2040802086210007,16.295919791379003
30,6.800000000000001,7,44.50000000000001,True,1.861716282347357,18.61716282347357,63.11716282347357
31,6.800000000000001,0,-1.0,False,0.0,-0.0,-1.0
32,6.800000000000001,4,25.000000000000004,True,0.4829496116672317,4.829496116672317,29.82949611667232
33,6.800000000000001,0,-1.0,False,0.0,-0.0,-1.0
34,6.800000000000001,5,31.5,True,1.3297973445338265,13.297973445338265,44.79797344533827
35,6.800000000000001,2,12.000000000000002,True,-0.5377754189856253,-5.377754189856253,6.622245810143749
36,6.800000000000001,5,31.5,True,1.3297973445338265,13.297973445338265,44.79797344533827
37,6.800000000000001,1,5.500000000000001,False,-0.4306477912227038,-4.306477912227038,1.1935220877729622
38,6.800000000000001,1,5.500000000000001,False,-0.4306477912227038,-4.306477912227038,1.1935220877729622
39,6.800000000000001,1,5.500000000000001,False,-0.4306477912227038,-4.306477912227038,1.1935220877729622
40,6.800000000000001,2,12.000000000000002,True,-0.5377754189856253,-5.377754189856253,6.622245810143749
41,6.800000000000001,8,51.00000000000001,True,0.9658992233344634,9.658992233344634,60.65899223334464
42,6.800000000000001,0,-1.0,False,0.0,-0.0,-1.0
43,6.800000000000001,5,31.5,True,1.3297973445338265,13.297973445338265,44.79797344533827
44,6.800000000000001,1,5.500000000000001,False,-0.4306477912227038,-4.306477912227038,1.1935220877729622
45,6.800000000000001,1,5.500000000000001,False,-0.4306477912227038,-4.306477912227038,1.1935220877729622
