t,price,attendance,profit,feasible,mean_agent_utility,agent_surplus,social_welfare
0,10.0,0,-1.0,False,0.0,-0.0,-1.0
1,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
2,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
3,10.0,0,-1.0,False,0.0,-0.0,-1.0
4,10.0,5,47.5,True,-0.27020265546617317,-2.7020265546617317,44.79797344533827
5,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
6,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
7,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
8,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
9,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
10,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
11,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
12,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
13,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
14,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
15,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
16,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
17,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
18,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
19,10.0,0,-1.0,False,0.0,-0.0,-1.0
20,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
21,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
22,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
23,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
24,10.0,0,-1.0,False,0.0,-0.0,-1.0
25,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
26,10.0,0,-1.0,False,0.0,-0.0,-1.0
27,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
28,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
29,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
30,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
31,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
32,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
33,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
34,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
35,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
36,10.0,0,-1.0,False,0.0,-0.0,-1.0
37,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
38,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
39,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
40,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
41,10.0,6,57.2,True,0.0,0.0,57.2
42,10.0,0,-1.0,False,0.0,-0.0,-1.0
43,10.0,0,-1.0,False,0.0,-0.0,-1.0
44,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
45,10.0,0,-1.0,False,0.0,-0.0,-1.0
46,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
47,10.0,0,-1.0,False,0.0,-0.0,-1.0
48,10.0,0,-1.0,False,0.0,-0.0,-1.0
49,10.0,0,-1.0,False,0.0,-0.0,-1.0
50,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
51,10.0,0,-1.0,False,0.0,-0.0,-1.0
52,10.0,0,-1.0,False,0.0,-0.0,-1.0
53,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
54,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
55,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
56,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
57,10.0,0,-1.0,False,0.0,-0.0,-1.0
58,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
59,10.0,0,-1.0,False,0.0,-0.0,-1.0
60,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
61,10.0,0,-1.0,False,0.0,-0.0,-1.0
62,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
63,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
64,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
65,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
66,10.0,0,-1.0,False,0.0,-0.0,-1.0
67,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
68,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
69,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
70,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
71,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
72,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
73,10.0,0,-1.0,False,0.0,-0.0,-1.0
74,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
75,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
76,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
77,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
78,10.0,0,-1.0,False,0.0,-0.0,-1.0
79,10.0,0,-1.0,False,0.0,-0.0,-1.0
80,10.0,0,-1.0,False,0.0,-0.0,-1.0
81,10.0,0,-1.0,False,0.0,-0.0,-1.0
82,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
83,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
84,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
85,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
86,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
87,10.0,0,-1.0,False,0.0,-0.0,-1.0
88,10.0,0,-1.0,False,0.0,-0.0,-1.0
89,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
90,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
91,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
92,10.0,0,-1.0,False,0.0,-0.0,-1.0
93,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
94,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
95,10.0,0,-1.0,False,0.0,-0.0,-1.0
96,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
97,10.0,0,-1.0,False,0.0,-0.0,-1.0
98,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
99,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
100,10.0,0,-1.0,False,0.0,-0.0,-1.0
101,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
102,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
103,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
104,10.0,0,-1.0,False,0.0,-0.0,-1.0
105,10.0,0,-1.0,False,0.0,-0.0,-1.0
106,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
107,10.0,0,-1.0,False,0.0,-0.0,-1.0
108,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
109,10.0,0,-1.0,False,0.0,-0.0,-1.0
110,10.0,0,-1.0,False,0.0,-0.0,-1.0
111,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
112,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
113,10.0,0,-1.0,False,0.0,-0.0,-1.0
114,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
115,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
116,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
117,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
118,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
119,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
120,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
121,10.0,0,-1.0,False,0.0,-0.0,-1.0
122,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
123,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
124,10.0,0,-1.0,False,0.0,-0.0,-1.0
125,10.0,0,-1.0,False,0.0,-0.0,-1.0
126,10.0,0,-1.0,False,0.0,-0.0,-1.0
127,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
