t,price,attendance,profit,feasible,mean_agent_utility,agent_surplus,social_welfare
0,2.0,6,9.2,True,4.8,48.0,57.2
1,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
2,2.0,6,9.2,True,4.8,48.0,57.2
3,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
4,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
5,10.0,0,-1.0,False,0.0,-0.0,-1.0
6,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
7,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
8,2.0,6,9.2,True,4.8,48.0,57.2
9,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
10,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
11,2.0,7,10.9,True,5.221716282347357,52.21716282347357,63.11716282347357
12,2.0,6,9.2,True,4.8,48.0,57.2
13,2.0,6,9.2,True,4.8,48.0,57.2
14,6.0,1,4.7,False,-0.3506477912227038,-3.5064779122270378,1.1935220877729622
15,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
16,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
17,2.0,6,9.2,True,4.8,48.0,57.2
18,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
19,10.0,0,-1.0,False,0.0,-0.0,-1.0
20,2.0,6,9.2,True,4.8,48.0,57.2
21,2.0,6,9.2,True,4.8,48.0,57.2
22,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
23,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
24,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
25,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
26,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
27,2.0,7,10.9,True,5.221716282347359,52.21716282347357,63.11716282347357
28,2.0,6,9.2,True,4.8,48.0,57.2
29,6.0,1,4.7,False,-0.3506477912227038,-3.5064779122270378,1.1935220877729622
30,2.0,6,9.2,True,4.8,48.0,57.2
31,2.0,6,9.2,True,4.8,48.0,57.2
32,2.0,6,9.2,True,4.8,48.0,57.2
33,2.0,7,10.9,True,5.221716282347359,52.21716282347357,63.11716282347357
34,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
35,2.0,6,9.2,True,4.8,48.0,57.2
