t,price,attendance,profit,feasible,mean_agent_utility,agent_surplus,social_welfare
0,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
1,9.84,1,8.54,False,-0.7346477912227037,-7.346477912227037,1.1935220877729622
2,9.64,1,8.34,False,-0.7146477912227038,-7.146477912227038,1.1935220877729622
3,9.440000000000001,3,26.420000000000005,True,-1.0124080208621002,-10.124080208621002,16.295919791379003
4,9.320000000000002,2,17.040000000000003,True,-1.0417754189856256,-10.417754189856256,6.622245810143749
5,9.160000000000002,3,25.580000000000005,True,-0.9284080208621004,-9.284080208621004,16.295919791379003
6,9.040000000000003,1,7.740000000000003,False,-0.654647791222704,-6.54647791222704,1.1935220877729622
7,8.840000000000003,2,16.080000000000005,True,-0.9457754189856258,-9.457754189856258,6.622245810143749
8,8.662476190476195,2,15.72495238095239,True,-0.9102706570808641,-9.10270657080864,6.622245810143749
9,8.529783882783887,2,15.459567765567774,True,-0.8837321955424026,-8.837321955424025,6.622245810143749
10,8.37202117091948,4,31.28808468367792,True,-0.14585885670055987,-1.4585885670055987,29.82949611667232
11,8.182358909539156,3,22.64707672861747,True,-0.6351156937238466,-6.351156937238466,16.295919791379003
12,8.035604292124908,1,6.735604292124909,False,-0.5542082204351946,-5.542082204351946,1.1935220877729622
13,7.855143784984133,2,14.110287569968266,True,-0.7488041759824517,-7.488041759824517,6.622245810143749
14,7.70896503762312,6,43.45379022573872,True,1.3746209774261282,13.746209774261281,57.2
15,7.5381525376231195,3,20.71445761286936,True,-0.4418537821490357,-4.418537821490357,16.295919791379003
16,7.306593966479635,2,13.013187932959271,True,-0.6390942122815522,-6.390942122815522,6.622245810143749
17,7.163711453723688,4,26.454845814894753,True,0.33746503017775675,3.3746503017775673,29.82949611667232
18,7.045142915735194,5,32.72571457867597,True,1.20722588666623,12.072258866662299,44.79797344533827
19,6.905107228760939,5,32.02553614380469,True,1.2772437301533572,12.772437301533571,44.79797344533827
20,6.811875471073927,5,31.559377355369634,True,1.3238596089968633,13.238596089968633,44.79797344533827
21,6.7558914701464445,4,24.82356588058578,True,0.5005930236086542,5.005930236086542,29.82949611667232
22,6.676008518614065,4,24.50403407445626,True,0.532546204221606,5.32546204221606,29.82949611667232
23,6.604838308707078,3,17.914514926121235,True,-0.16185951347422317,-1.6185951347422316,16.295919791379003
24,6.4968749115024025,2,11.393749823004805,True,-0.47715040128610564,-4.771504012861056,6.622245810143749
25,6.378623720931946,5,29.393118604659733,True,1.5404854840678537,15.404854840678537,44.79797344533827
26,6.303082536034781,2,11.006165072069562,True,-0.4383919261925813,-4.383919261925813,6.622245810143749
27,6.153466022762806,3,16.560398068288418,True,-0.026447827690941582,-0.26447827690941583,16.295919791379003
28,6.0686416697989625,5,27.843208348994814,True,1.6954765096343458,16.954765096343458,44.79797344533827
29,5.957949961336685,3,15.973849884010056,True,0.03220699073689461,0.32206990736894614,16.295919791379003
30,5.8341011341082325,6,32.2046068046494,True,2.499539319535061,24.995393195350605,57.2
31,5.771938375617046,4,20.887753502468186,True,0.8941742614204135,8.941742614204134,29.82949611667232
32,5.667845325666769,5,25.839226628333844,True,1.8958746817004424,18.958746817004425,44.79797344533827
33,5.611300016463433,6,30.867800098780602,True,2.6332199901219404,26.3321999012194,57.2
34,5.545077270632995,6,30.470463623797972,True,2.672953637620203,26.729536376202027,57.2
35,5.506296547187192,6,30.237779283123157,True,2.696222071687685,26.962220716876846,57.2
36,5.488919838502691,3,14.566759515508073,True,0.17291602758709274,1.7291602758709272,16.295919791379003
37,5.4298996663715515,4,19.519598665486207,True,1.0309897451186114,10.309897451186114,29.82949611667232
38,5.3690329809887185,3,14.207098942966153,True,0.2088820848412846,2.088820848412846,16.295919791379003
39,5.265690214785972,5,23.828451073929863,True,2.0969522371408407,20.969522371408406,44.79797344533827
40,5.1860273349017865,1,3.8860273349017866,False,-0.2692505247128824,-2.692505247128824,1.1935220877729622
41,5.079771254154145,3,13.339313762462433,True,0.2956606028916567,2.9566060289165668,16.295919791379003
42,4.97858587576559,6,27.07151525459354,True,3.0128484745406463,30.12848474540646,57.2
43,4.867011241560035,4,17.26804496624014,True,1.2561451150432181,12.56145115043218,29.82949611667232
44,4.775829924941045,4,16.903319699764182,True,1.2926176416908137,12.926176416908138,29.82949611667232
45,4.712829989993543,6,25.476979939961257,True,3.172302006003874,31.723020060038742,57.2
46,4.6438901744159695,8,33.75112139532776,True,2.6907870838016885,26.907870838016883,60.65899223334464
47,4.610267385649726,5,20.55133692824863,True,2.424663651708964,24.24663651708964,44.79797344533827
48,4.574303537629696,5,20.37151768814848,True,2.442645575718979,24.42645575718979,44.79797344533827
49,4.557064051015075,4,16.028256204060302,True,1.3801239912612018,13.801239912612019,29.82949611667232
50,4.489198734914901,5,19.945993674574506,True,2.485197977076376,24.851979770763762,44.79797344533827
51,4.4299263574561225,5,19.64963178728061,True,2.5148341658057656,25.148341658057657,44.79797344533827
52,4.362977385309054,5,19.31488692654527,True,2.5483086518793,25.483086518792998,44.79797344533827
53,4.307508289144251,5,19.037541445721256,True,2.5760431999617013,25.760431999617012,44.79797344533827
54,4.2526370680473295,6,22.715822408283977,True,3.448417759171602,34.48417759171602,57.2
55,4.210146625654933,6,22.4608797539296,True,3.47391202460704,34.7391202460704,57.2
56,4.172568947605119,7,26.10798263323583,True,3.7009180190237743,37.00918019023774,63.11716282347357
57,4.162525056700717,4,14.450100226802867,True,1.5379395889869454,15.379395889869453,29.82949611667232
58,4.1177890003766535,4,14.271156001506615,True,1.5558340115165705,15.558340115165706,29.82949611667232
59,4.072513411876209,6,21.635080471257258,True,3.556491952874274,35.56491952874274,57.2
60,4.018720032882359,6,21.312320197294152,True,3.5887679802705845,35.88767980270585,57.2
61,3.971037032717995,5,17.355185163589976,True,2.7442788281748296,27.442788281748296,44.79797344533827
62,3.9345819867817586,5,17.172909933908794,True,2.7625063511429477,27.625063511429477,44.79797344533827
63,3.896120643241423,5,16.980603216207115,True,2.7817370229131155,27.817370229131157,44.79797344533827
64,3.8463969203389476,5,16.731984601694737,True,2.806598884364353,28.06598884364353,44.79797344533827
65,3.796913636943236,6,19.981481821659415,True,3.7218518178340587,37.21851817834059,57.2
66,3.7605139029655668,5,16.302569514827834,True,2.8495403930510435,28.495403930510435,44.79797344533827
67,3.71411043313055,5,16.07055216565275,True,2.872742127968552,28.72742127968552,44.79797344533827
68,3.6772879452676537,4,12.509151781070614,True,1.7320344335601703,17.320344335601703,29.82949611667232
69,3.616179096759033,4,12.264716387036131,True,1.7564779729636186,17.564779729636186,29.82949611667232
70,3.5526232357660468,3,8.75786970729814,True,0.7538050084080862,7.5380500840808615,16.295919791379003
71,3.465355319029343,7,21.1574872332054,True,4.195967559026817,41.959675590268176,63.11716282347357
