agent_type,bar_type,metric,cv_vs_log10_rounds_slope,r_value,p_value,interpretation
bayesian,gp,attendance,-0.09900943311049855,-0.9541167742932581,0.1935961913856254,shrinking/flat dispersion (settling)
bayesian,gp,price,0.013993959183446302,0.42653617584370707,0.7194673651466293,growing dispersion (persistent-adaptation signature)
bayesian,gp,profit,-0.1182626745918651,-0.9670636415362875,0.16384461849721785,shrinking/flat dispersion (settling)
bayesian,gp,welfare,-0.1464139729104365,-0.9685733505046136,0.1600251122294161,shrinking/flat dispersion (settling)
bayesian,passive,attendance,-0.25140810018704807,-0.9314827792812542,0.23703171651190758,shrinking/flat dispersion (settling)
bayesian,passive,price,0.0,,,shrinking/flat dispersion (settling)
bayesian,passive,profit,-0.30421711941948215,-0.925404639882907,0.247450549741811,shrinking/flat dispersion (settling)
bayesian,passive,welfare,-0.636508726385338,-0.9134136205365151,0.2668729416171317,shrinking/flat dispersion (settling)
bayesian,q_learning,attendance,-0.0499604746727461,-0.9709078155627837,0.15393657844625908,shrinking/flat dispersion (settling)
bayesian,q_learning,price,-0.0424260498131075,-0.706142612670002,0.5008674659056632,shrinking/flat dispersion (settling)
bayesian,q_learning,profit,-0.07654697578987636,-0.969287114380888,0.15818790726234036,shrinking/flat dispersion (settling)
bayesian,q_learning,welfare,-0.0778167493675743,-0.9868739044707981,0.10326165889620702,shrinking/flat dispersion (settling)
bayesian,regression,attendance,-0.21994905317733263,-0.9924912444543972,0.07806407705495139,shrinking/flat dispersion (settling)
bayesian,regression,price,0.14078415002801253,0.4885924917259645,0.6750209771777143,growing dispersion (persistent-adaptation signature)
bayesian,regression,profit,-0.17273645486247172,-0.9962354155092297,0.055257341183523156,shrinking/flat dispersion (settling)
bayesian,regression,welfare,-0.44246024725859084,-0.9705476921211781,0.15489111421800206,shrinking/flat dispersion (settling)
heuristic,gp,attendance,0.043363176493371645,0.9520587594081226,0.19792482095434658,growing dispersion (persistent-adaptation signature)
heuristic,gp,price,-0.040068664200597175,-0.977728098238964,0.13461179967861223,shrinking/flat dispersion (settling)
heuristic,gp,profit,0.01001219230643946,0.9996002032094089,0.018002351730942414,growing dispersion (persistent-adaptation signature)
heuristic,gp,welfare,0.11008978862686725,0.9972981959244159,0.04680797757679258,growing dispersion (persistent-adaptation signature)
heuristic,passive,attendance,0.03955124476634635,0.9996188920676347,0.017576520646621862,growing dispersion (persistent-adaptation signature)
heuristic,passive,price,0.0,,,shrinking/flat dispersion (settling)
heuristic,passive,profit,0.04218172538590885,0.9997332495981174,0.014704738865881485,growing dispersion (persistent-adaptation signature)
heuristic,passive,welfare,0.10621341967169125,0.9915469512746677,0.08283391885498957,growing dispersion (persistent-adaptation signature)
heuristic,q_learning,attendance,0.04793689639317217,0.9748751466881288,0.14300802360796036,growing dispersion (persistent-adaptation signature)
heuristic,q_learning,price,0.0060772840451080445,0.2749994506536584,0.8226446508288273,growing dispersion (persistent-adaptation signature)
heuristic,q_learning,profit,0.0022694634262429847,0.07987486761664826,0.9490958537638419,growing dispersion (persistent-adaptation signature)
heuristic,q_learning,welfare,0.1166019753999137,0.9992943201015053,0.023917982115721954,growing dispersion (persistent-adaptation signature)
heuristic,regression,attendance,0.03955124476634635,0.9996188920676347,0.017576520646621862,growing dispersion (persistent-adaptation signature)
heuristic,regression,price,0.08256983364437388,0.8265525940058596,0.38059758173037345,growing dispersion (persistent-adaptation signature)
heuristic,regression,profit,0.09231887640458691,0.9556143719879492,0.19038639419805617,growing dispersion (persistent-adaptation signature)
heuristic,regression,welfare,0.10621341967169125,0.9915469512746677,0.08283391885498957,growing dispersion (persistent-adaptation signature)
no_regret,gp,attendance,0.08851634130514592,0.8660254037844387,0.33333333333333326,growing dispersion (persistent-adaptation signature)
no_regret,gp,price,-0.027231482743895537,-0.9735479321149936,0.14675298514564367,shrinking/flat dispersion (settling)
no_regret,gp,profit,0.5364212406560406,0.9347077571231068,0.23132241915827417,growing dispersion (persistent-adaptation signature)
no_regret,gp,welfare,1.322698912212992,0.8992779853900588,0.28818529624824013,growing dispersion (persistent-adaptation signature)
no_regret,passive,attendance,0.056551845926458615,0.8660254037844386,0.33333333333333337,growing dispersion (persistent-adaptation signature)
no_regret,passive,price,0.0,,,shrinking/flat dispersion (settling)
no_regret,passive,profit,0.7160678685609166,0.9070035248179928,0.2767278817202966,growing dispersion (persistent-adaptation signature)
no_regret,passive,welfare,0.17722653735609598,0.9999998788416077,0.000313380432903375,growing dispersion (persistent-adaptation signature)
no_regret,q_learning,attendance,0.05760433823150524,0.9931950898518374,0.0743109655207444,growing dispersion (persistent-adaptation signature)
no_regret,q_learning,price,0.00632797199894214,0.10946946050756275,0.9301696310496781,growing dispersion (persistent-adaptation signature)
no_regret,q_learning,profit,-0.01091953030057044,-0.12955225738593093,0.9172920026871071,shrinking/flat dispersion (settling)
no_regret,q_learning,welfare,0.05376621691702933,0.8330956606074489,0.37313263365200156,growing dispersion (persistent-adaptation signature)
no_regret,regression,attendance,1.3414150042020612,0.9723142796690994,0.15015166042277606,growing dispersion (persistent-adaptation signature)
no_regret,regression,price,0.09202377474033234,0.9194682047315788,0.25723932766728225,growing dispersion (persistent-adaptation signature)
no_regret,regression,profit,1.7412055325379383,0.9389895800947811,0.22352715460202888,growing dispersion (persistent-adaptation signature)
no_regret,regression,welfare,1.9106591323023618,0.9548982822490643,0.19192768055114237,growing dispersion (persistent-adaptation signature)
q_learning,gp,attendance,0.4818293327941673,0.9172574108990829,0.26079587550052535,growing dispersion (persistent-adaptation signature)
q_learning,gp,price,0.02702584281004904,0.778713706938069,0.43174495522054845,growing dispersion (persistent-adaptation signature)
q_learning,gp,profit,0.30923184538799237,0.8112814561038214,0.39754085833009933,growing dispersion (persistent-adaptation signature)
q_learning,gp,welfare,0.7899776388551368,0.9340562734052762,0.2324865517046344,growing dispersion (persistent-adaptation signature)
q_learning,passive,attendance,-0.09049959934589255,-0.9618911647312238,0.17631810183222713,shrinking/flat dispersion (settling)
q_learning,passive,price,0.0,,,shrinking/flat dispersion (settling)
q_learning,passive,profit,-0.09060078362308685,-0.9477365815695525,0.20673018452143754,shrinking/flat dispersion (settling)
q_learning,passive,welfare,-0.05661347688658014,-0.41758204348974054,0.7257552707029498,shrinking/flat dispersion (settling)
q_learning,q_learning,attendance,-0.0670990310351613,-0.9454432538497729,0.21125834669394264,shrinking/flat dispersion (settling)
q_learning,q_learning,price,-0.056718063707513026,-0.8591324300555111,0.3420076521769235,shrinking/flat dispersion (settling)
q_learning,q_learning,profit,-0.06876694562496237,-0.6089946218379902,0.5831461885823612,shrinking/flat dispersion (settling)
q_learning,q_learning,welfare,-0.13352386033118804,-0.8728186793158929,0.3245793453418245,shrinking/flat dispersion (settling)
