t,price,attendance,profit,feasible,mean_agent_utility,agent_surplus,social_welfare
0,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
1,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
2,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
3,10.0,6,57.2,True,0.0,0.0,57.2
4,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
5,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
6,10.0,0,-1.0,False,0.0,-0.0,-1.0
7,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
8,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
9,10.0,0,-1.0,False,0.0,-0.0,-1.0
10,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
11,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
12,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
13,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
14,10.0,6,57.2,True,0.0,0.0,57.2
15,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
16,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
17,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
18,10.0,6,57.2,True,0.0,0.0,57.2
19,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
20,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
21,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
22,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
23,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
24,10.0,6,57.2,True,0.0,0.0,57.2
25,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
26,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
27,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
28,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
29,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
30,10.0,6,57.2,True,0.0,0.0,57.2
31,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
32,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
33,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
34,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
35,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
36,10.0,6,57.2,True,0.0,0.0,57.2
37,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
38,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
39,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
40,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
41,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
42,10.0,6,57.2,True,0.0,0.0,57.2
43,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
44,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
45,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
46,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
47,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
48,10.0,6,57.2,True,0.0,0.0,57.2
49,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
50,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
51,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
52,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
53,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
54,10.0,6,57.2,True,0.0,0.0,57.2
55,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
56,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
57,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
58,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
59,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
60,10.0,6,57.2,True,0.0,0.0,57.2
61,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
62,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
63,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
64,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
65,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
66,10.0,6,57.2,True,0.0,0.0,57.2
67,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
68,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
69,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
70,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
71,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
72,10.0,6,57.2,True,0.0,0.0,57.2
73,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
74,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
75,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
76,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
77,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
78,10.0,6,57.2,True,0.0,0.0,57.2
79,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
80,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
81,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
82,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
83,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
84,10.0,6,57.2,True,0.0,0.0,57.2
85,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
86,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
87,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
88,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
89,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
90,10.0,6,57.2,True,0.0,0.0,57.2
91,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
92,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
93,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
94,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
95,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
96,10.0,6,57.2,True,0.0,0.0,57.2
97,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
98,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
99,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
100,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
101,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
102,10.0,6,57.2,True,0.0,0.0,57.2
103,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
104,10.0,4,37.8,True,-0.797050388332768,-7.97050388332768,29.82949611667232
105,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
106,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
107,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
108,10.0,6,57.2,True,0.0,0.0,57.2
