t,price,attendance,profit,feasible,mean_agent_utility,agent_surplus,social_welfare
0,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
1,6.0,4,21.8,True,0.802949611667232,8.02949611667232,29.82949611667232
2,2.0,10,16.0,True,2.1111229050718743,21.11122905071874,37.11122905071874
3,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
4,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
5,6.0,8,44.6,True,1.605899223334464,16.05899223334464,60.65899223334464
6,2.0,6,9.2,True,4.8,48.0,57.2
7,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
8,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
9,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
10,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
11,2.0,0,-1.0,False,0.0,-0.0,-1.0
12,2.0,10,16.0,True,2.1111229050718743,21.11122905071874,37.11122905071874
13,6.0,6,33.2,True,2.4,24.0,57.2
14,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
15,2.0,6,9.2,True,4.8,48.0,57.2
16,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
17,2.0,0,-1.0,False,0.0,-0.0,-1.0
18,2.0,10,16.0,True,2.1111229050718743,21.11122905071874,37.11122905071874
19,6.0,6,33.2,True,2.4,24.0,57.2
20,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
21,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
22,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
23,2.0,0,-1.0,False,0.0,-0.0,-1.0
24,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
25,6.0,6,33.2,True,2.4,24.0,57.2
26,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
27,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
28,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
29,10.0,0,-1.0,False,0.0,-0.0,-1.0
30,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
31,10.0,6,57.2,True,0.0,0.0,57.2
32,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
33,6.0,8,44.6,True,1.605899223334464,16.05899223334464,60.65899223334464
34,6.0,8,44.6,True,1.605899223334464,16.05899223334464,60.65899223334464
35,6.0,0,-1.0,False,0.0,-0.0,-1.0
36,6.0,10,56.0,True,-1.888877094928126,-18.88877094928126,37.11122905071874
37,6.0,6,33.2,True,2.4,24.0,57.2
38,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
39,6.0,8,44.6,True,1.605899223334464,16.05899223334464,60.65899223334464
40,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
41,10.0,0,-1.0,False,0.0,-0.0,-1.0
42,6.0,10,56.0,True,-1.888877094928126,-18.88877094928126,37.11122905071874
43,6.0,6,33.2,True,2.4,24.0,57.2
44,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
45,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
46,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
47,10.0,0,-1.0,False,0.0,-0.0,-1.0
48,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
49,6.0,6,33.2,True,2.4,24.0,57.2
50,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
51,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
52,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
53,10.0,0,-1.0,False,0.0,-0.0,-1.0
54,10.0,10,96.0,True,-5.888877094928126,-58.88877094928126,37.11122905071874
55,6.0,6,33.2,True,2.4,24.0,57.2
56,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
57,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
58,10.0,8,76.6,True,-1.594100776665536,-15.94100776665536,60.65899223334464
