t,price,attendance,profit,feasible,mean_agent_utility,agent_surplus,social_welfare
0,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
1,9.84,4,37.16,True,-0.7330503883327679,-7.33050388332768,29.82949611667232
2,9.76,8,74.67999999999999,True,-1.4021007766655358,-14.021007766655359,60.65899223334464
3,9.84,6,56.24,True,0.09600000000000009,0.9600000000000009,57.2
4,9.84,4,37.16,True,-0.7330503883327679,-7.33050388332768,29.82949611667232
5,9.76,8,74.67999999999999,True,-1.4021007766655358,-14.021007766655359,60.65899223334464
6,9.84,0,-1.0,False,0.0,-0.0,-1.0
7,9.6,10,92.0,True,-5.488877094928126,-54.88877094928125,37.11122905071874
8,9.422222222222222,8,71.97777777777777,True,-1.131878554443314,-11.31878554443314,60.65899223334464
9,9.100793650793651,0,-1.0,False,0.0,-0.0,-1.0
10,9.221160623270714,8,70.36928498616571,True,-0.9710292752821076,-9.710292752821076,60.65899223334464
11,9.321069299069801,8,71.1685543925584,True,-1.0509562159213772,-10.509562159213772,60.65899223334464
12,9.15483411219651,2,16.70966822439302,True,-1.0087422414249274,-10.087422414249273,6.622245810143749
13,9.178566376231057,8,70.02853100984845,True,-0.9369538776503816,-9.369538776503816,60.65899223334464
14,9.18622611905994,6,52.31735671435965,True,0.4882643285640359,4.882643285640359,57.2
15,9.095260266715165,2,16.59052053343033,True,-0.9968274723286582,-9.968274723286582,6.622245810143749
16,9.214622560339993,10,88.14622560339993,True,-5.103499655268118,-51.03499655268119,37.11122905071874
17,9.14355729796238,2,16.687114595924758,True,-1.0064868785781012,-10.06486878578101,6.622245810143749
18,9.158379703693152,6,52.15027822215892,True,0.504972177784109,5.049721777841089,57.2
19,9.235810386584745,8,70.48648309267796,True,-0.9827490859333323,-9.827490859333324,60.65899223334464
20,9.115230218129124,4,34.26092087251649,True,-0.44314247558441766,-4.431424755844176,29.82949611667232
21,9.075472153612996,2,16.55094430722599,True,-0.9928698497082242,-9.928698497082243,6.622245810143749
22,9.290286661385016,10,88.90286661385016,True,-5.179163756313143,-51.79163756313142,37.11122905071874
23,9.228816481079884,2,16.857632962159766,True,-1.0235387152016018,-10.235387152016019,6.622245810143749
24,9.231471636955183,6,52.588829821731096,True,0.4611170178268903,4.611170178268903,57.2
25,9.294501244662834,8,70.95600995730267,True,-1.0297017723958035,-10.297017723958035,60.65899223334464
26,9.166701523160146,4,34.46680609264058,True,-0.46373099759682646,-4.6373099759682646,29.82949611667232
27,9.117237157122615,2,16.634474314245228,True,-1.0012228504101481,-10.012228504101481,6.622245810143749
28,9.316775326511145,10,89.16775326511146,True,-5.20565242143927,-52.05652421439271,37.11122905071874
29,9.246382789019341,2,16.89276557803868,True,-1.0270519767894934,-10.270519767894934,6.622245810143749
30,9.24378651267326,6,52.662719076039565,True,0.4537280923960438,4.537280923960438,57.2
31,9.298550874558366,8,70.98840699646692,True,-1.0329414763122287,-10.329414763122287,60.65899223334464
32,9.166754360862173,4,34.46701744344869,True,-0.46375213267763726,-4.637521326776373,29.82949611667232
33,9.110325978506943,2,16.620651957013884,True,-0.9998406146870137,-9.998406146870137,6.622245810143749
34,9.30276662641924,10,89.0276662641924,True,-5.191643721347367,-51.91643721347366,37.11122905071874
35,9.22728428188105,2,16.854568563762097,True,-1.023232275361835,-10.23232275361835,6.622245810143749
36,9.221759738682655,6,52.53055843209593,True,0.46694415679040696,4.6694415679040695,57.2
37,9.27104031993385,8,70.76832255947079,True,-1.0109330326126156,-10.109330326126155,60.65899223334464
38,9.136638967741582,4,34.34655587096633,True,-0.451705975429401,-4.51705975429401,29.82949611667232
39,9.074970708377304,2,16.549941416754606,True,-0.9927695606610859,-9.92769560661086,6.622245810143749
40,9.263439997378981,10,88.63439997378981,True,-5.152317092307107,-51.52317092307107,37.11122905071874
41,9.184665241338823,2,16.769330482677645,True,-1.01470846725339,-10.147084672533898,6.622245810143749
42,9.177267939303917,6,52.263607635823504,True,0.49363923641764984,4.936392364176498,57.2
43,9.222605821471612,8,70.38084657177289,True,-0.9721854338428259,-9.721854338428258,60.65899223334464
44,9.086348978207196,4,34.14539591282878,True,-0.4315899796156465,-4.315899796156465,29.82949611667232
45,9.020595512843355,2,16.44119102568671,True,-0.9818945215542962,-9.818945215542962,6.622245810143749
46,9.206582748780624,10,88.06582748780625,True,-5.095459843708751,-50.9545984370875,37.11122905071874
47,9.125503386494206,2,16.65100677298841,True,-1.0028760962844663,-10.028760962844663,6.622245810143749
48,9.116801957198192,6,51.90081174318915,True,0.5299188256810851,5.299188256810851,57.2
49,9.159153807118912,8,69.87323045695129,True,-0.9214238223606657,-9.214238223606657,60.65899223334464
50,9.021498705636837,4,33.885994822547346,True,-0.4056498705875029,-4.056498705875029,29.82949611667232
51,8.952471086572936,2,16.30494217314587,True,-0.9682696363002125,-9.682696363002124,6.622245810143749
52,9.13678738806004,10,87.3678738806004,True,-5.025664482988164,-50.25664482988165,37.11122905071874
53,9.054004647262357,2,16.50800929452471,True,-0.9885763484380965,-9.885763484380965,6.622245810143749
54,9.044340995643644,6,51.46604597386187,True,0.5733954026138136,5.733954026138136,57.2
55,9.084346426982469,8,69.27477141585975,True,-0.8615779182515112,-8.615779182515112,60.65899223334464
56,8.945595555522006,4,33.58238222208802,True,-0.3752886105415705,-3.7528861054157048,29.82949611667232
57,8.873885208218585,2,16.14777041643717,True,-0.9525524606293422,-9.525524606293422,6.622245810143749
58,9.057014518970107,10,86.57014518970107,True,-4.945891613898232,-49.458916138982325,37.11122905071874
59,8.972921546213723,2,16.345843092427444,True,-0.9723597282283697,-9.723597282283697,6.622245810143749
60,8.962517637580953,6,50.97510582548573,True,0.6224894174514279,6.224894174514279,57.2
61,9.000627447609876,8,68.605019580879,True,-0.7946027347534368,-7.946027347534368,60.65899223334464
62,8.860992594426143,4,33.24397037770457,True,-0.34144742610322537,-3.414474261032254,29.82949611667232
63,8.787044023913115,2,15.97408804782623,True,-0.9351842237682482,-9.351842237682481,6.622245810143749
64,8.969294981557654,10,85.69294981557654,True,-4.85817207648578,-48.5817207648578,37.11122905071874
65,8.884162940059158,2,16.168325880118314,True,-0.9546080069974566,-9.546080069974566,6.622245810143749
66,8.873171255316011,6,50.43902753189607,True,0.6760972468103933,6.760972468103933,57.2
67,8.909716032438613,8,67.8777282595089,True,-0.7218736026164265,-7.218736026164265,60.65899223334464
68,8.76935186122127,4,32.87740744488508,True,-0.3047911328212763,-3.047911328212763,29.82949611667232
69,8.693507579874945,2,15.78701515974989,True,-0.9164769349606141,-9.164769349606141,6.622245810143749
70,8.875087331456129,10,84.75087331456129,True,-4.763964426384255,-47.63964426384255,37.11122905071874
71,8.789111133186577,2,15.978222266373153,True,-0.9355976456229405,-9.355976456229405,6.622245810143749
72,8.777641063217057,6,49.86584637930235,True,0.7334153620697655,7.334153620697656,57.2
73,8.812870905929996,8,67.10296724743996,True,-0.6443975014095329,-6.443975014095329,60.65899223334464
74,8.671894112328937,4,32.487576449315746,True,-0.26580803326434294,-2.6580803326434292,29.82949611667232
75,8.594423618193721,2,15.588847236387442,True,-0.8966601426243693,-8.966601426243693,6.622245810143749
76,8.7754769387843,10,83.754769387843,True,-4.664354033712426,-46.64354033712425,37.11122905071874
77,8.688801379631784,2,15.777602759263567,True,-0.9155356949119818,-9.155356949119819,6.622245810143749
78,8.676934141890309,6,49.26160485134186,True,0.7938395148658148,7.938395148658149,57.2
79,8.711043074282733,8,66.28834459426186,True,-0.5629352360917224,-5.629352360917224,60.65899223334464
80,8.569544038059167,4,32.078176152236665,True,-0.22486800355643483,-2.248680035564348,29.82949611667232
81,8.490663186341095,2,15.38132637268219,True,-0.8759080562538442,-8.759080562538442,6.622245810143749
82,8.671294649851054,10,82.71294649851055,True,-4.560171744779181,-45.6017174477918,37.11122905071874
83,8.584030231130576,2,15.568060462261153,True,-0.8945814652117404,-8.945814652117404,6.622245810143749
84,8.571827826954621,6,48.63096696172773,True,0.8569033038272273,8.569033038272273,57.2
85,8.60496953407305,8,65.43975627258439,True,-0.4780764039239756,-4.780764039239756,60.65899223334464
86,8.463019771193052,4,31.652079084772208,True,-0.1822582968099887,-1.822582968099887,29.82949611667232
87,8.382904122318928,2,15.165808244637857,True,-0.8543562434494107,-8.543562434494108,6.622245810143749
88,8.563191361975647,10,81.63191361975647,True,-4.452068456903773,-44.52068456903773,37.11122905071874
89,8.475424325492236,2,15.350848650984473,True,-0.8728602840840723,-8.728602840840724,6.622245810143749
90,8.462935188606895,6,47.977611131641375,True,0.9222388868358629,9.222388868358628,57.2
91,8.495233554543704,8,64.56186843634963,True,-0.39028762030049935,-3.9028762030049933,60.65899223334464
92,8.35289067978346,4,31.21156271913384,True,-0.13820666024615208,-1.3820666024615207,29.82949611667232
93,8.271684939564539,2,14.943369879129078,True,-0.8321124068985328,-8.321124068985329,6.622245810143749
94,8.451686937729125,10,80.51686937729124,True,-4.34056403265725,-43.40564032657251,37.11122905071874
95,8.363485880921527,2,15.126971761843054,True,-0.8504725951699305,-8.504725951699305,6.622245810143749
96,8.350748585843366,6,47.3044915150602,True,0.9895508484939803,9.895508484939803,57.2
97,8.382304979673075,8,63.6584398373846,True,-0.29994476040399576,-2.9994476040399576,60.65899223334464
98,8.239616123421213,4,30.75846449368485,True,-0.09289683770125308,-0.9289683770125308,29.82949611667232
99,8.157440972085793,2,14.714881944171585,True,-0.8092636134027836,-8.092636134027837,6.622245810143749
100,8.337203438238417,10,79.37203438238417,True,-4.226080533166543,-42.26080533166542,37.11122905071874
101,8.248623818733817,2,14.897247637467634,True,-0.8275001827323886,-8.275001827323885,6.622245810143749
102,8.235669599034837,6,46.61401759420903,True,1.0585982405790975,10.585982405790975,57.2
103,8.266568049715268,8,62.732544397722144,True,-0.2073552164377503,-2.073552164377503,60.65899223334464
104,8.123572277283698,4,30.29428910913479,True,-0.04647929924624705,-0.4647929924624705,29.82949611667232
105,8.040529408501516,2,14.481058817003033,True,-0.7858813006859284,-7.858813006859284,6.622245810143749
106,8.220088379921242,10,78.20088379921242,True,-4.108965474849368,-41.08965474849367,37.11122905071874
107,8.131175669059935,2,14.662351338119871,True,-0.8040105527976122,-8.040105527976122,6.622245810143749
108,8.118030177225918,6,45.908181063355514,True,1.1291818936644489,11.29181893664449,57.2
109,8.148341134963228,8,61.78672907970583,True,-0.11277368463611878,-1.1277368463611879,60.65899223334464
110,8.005071201021465,4,29.820284804085862,True,0.0009211312586458575,0.009211312586458575,29.82949611667232
111,7.921247105831205,2,14.242494211662411,True,-0.7620248401518662,-7.620248401518662,6.622245810143749
112,8.100631424740422,10,77.00631424740422,True,-3.989508519668548,-39.89508519668548,37.11122905071874
113,8.011423368765728,2,14.422846737531456,True,-0.7800600927387707,-7.800600927387707,6.622245810143749
114,7.998107936799463,6,45.18864762079678,True,1.201135237920322,12.011352379203222,57.2
115,8.027891062332333,8,60.82312849865867,True,-0.01641362653140277,-0.1641362653140277,60.65899223334464
116,7.88437470971861,4,29.337498838874442,True,0.04919972777978785,0.4919972777978785,29.82949611667232
117,7.799843562650253,2,13.999687125300506,True,-0.7377441315156756,-7.377441315156757,6.622245810143749
118,7.979076621252475,10,75.79076621252476,True,-3.867953716180601,-38.67953716180601,37.11122905071874
119,7.889604896906144,2,14.179209793812289,True,-0.755696398366854,-7.55696398366854,6.622245810143749
120,7.8761374589110416,6,44.45682475346625,True,1.274317524653375,12.74317524653375,57.2
121,7.905443728618625,8,59.843549828949,True,0.08154424043956396,0.8154424043956396,60.65899223334464
122,7.761704667345812,4,28.84681866938325,True,0.09826774472890705,0.9826774472890705,29.82949611667232
123,7.676530558754602,2,13.753061117509205,True,-0.7130815307365456,-7.130815307365456,6.622245810143749
124,7.855631554423568,10,74.55631554423569,True,-3.744508649351694,-37.44508649351694,37.11122905071874
125,7.765923003659144,2,13.931846007318288,True,-0.730960019717454,-7.3096001971745395,6.622245810143749
126,7.752318783887799,6,43.7139127033268,True,1.3486087296673208,13.486087296673206,57.2
127,7.7811921034496985,8,58.84953682759759,True,0.1809455405747052,1.8094554057470518,60.65899223334464
128,7.637250760478841,4,28.349003041915363,True,0.14804930747569572,1.4804930747569571,29.82949611667232
129,7.551489445092914,2,13.502978890185828,True,-0.6880733080042079,-6.880733080042079,6.622245810143749
130,7.730474300063931,10,73.3047430006393,True,-3.6193513949920573,-36.19351394992057,37.11122905071874
131,7.6405518660451115,2,13.681103732090223,True,-0.7058857921946474,-7.058857921946474,6.622245810143749
132,7.626823900665082,6,42.9609434039905,True,1.4239056596009507,14.239056596009508,57.2
133,7.655302359284435,8,57.84241887427548,True,0.281657335906916,2.81657335906916,60.65899223334464
134,7.51117646091579,4,27.84470584366316,True,0.19847902730091604,1.9847902730091604,29.82949611667232
135,7.424876743173935,2,13.24975348634787,True,-0.6627507676204122,-6.627507676204122,6.622245810143749
136,7.603758789634343,10,72.03758789634342,True,-3.4926358845624685,-34.926358845624684,37.11122905071874
137,7.513642236726613,2,13.427284473453227,True,-0.6805038663309478,-6.805038663309478,6.622245810143749
138,7.499801775414097,6,42.19881065248458,True,1.5001189347515418,15.001189347515417,57.2
139,7.527918632885871,8,56.82334906308697,True,0.3835643170257669,3.8356431702576685,60.65899223334464
140,7.3836236628981275,4,27.33449465159251,True,0.24950014650798097,2.4950014650798096,29.82949611667232
141,7.296828505994838,2,12.993657011989676,True,-0.6371411201845927,-6.371411201845927,6.622245810143749
142,7.475619004051593,10,70.75619004051593,True,-3.3644960989797186,-33.644960989797184,37.11122905071874
143,7.385325478979126,2,13.170650957958252,True,-0.6548405147814502,-6.548405147814503,6.622245810143749
144,7.371382298166084,6,41.42829378899651,True,1.5771706211003493,15.771706211003494,57.2
145,7.399166770484784,8,55.79333416387827,True,0.48656580694663704,4.86565806946637,60.65899223334464
146,7.254716334666593,4,26.818865338666374,True,0.30106307780059466,3.0106307780059467,29.82949611667232
147,7.167463756888006,2,12.734927513776013,True,-0.6112681703632263,-6.112681703632264,6.622245810143749
148,7.346172291473735,10,69.46172291473735,True,-3.235049386401861,-32.35049386401861,37.11122905071874
149,7.2557167659068815,2,12.911433531813763,True,-0.6289187721670014,-6.2891877216700145,6.622245810143749
150,7.241679416072313,6,40.65007649643388,True,1.6549923503566124,16.54992350356612,57.2
151,7.2691573071176085,8,54.75325845694087,True,0.5905733776403771,5.905733776403771,60.65899223334464
152,7.12456342633196,4,26.29825370532784,True,0.3531242411344479,3.531242411344479,29.82949611667232
153,7.03688723182672,2,12.47377446365344,True,-0.5851528653509691,-5.851528653509691,6.622245810143749
154,7.215522020572161,10,68.1552202057216,True,-3.1043991155002866,-31.043991155002864,37.11122905071874
155,7.12491764398607,2,12.64983528797214,True,-0.6027589477828391,-6.027589477828391,6.622245810143749
156,7.110793647018411,6,39.86476188211047,True,1.733523811788953,17.33523811788953,57.2
157,7.137987861232535,8,53.70390288986028,True,0.695508934348436,6.95508934348436,60.65899223334464
158,6.9932612092544355,4,25.773044837017743,True,0.40564512796545776,4.056451279654578,29.82949611667232
159,6.905191588628257,2,12.210383177256514,True,-0.5588137367112764,-5.588137367112765,6.622245810143749
160,7.083759723347058,10,66.83759723347059,True,-2.972636818275184,-29.72636818275184,37.11122905071874
161,6.993018107127352,2,12.386036214254704,True,-0.5763790404110954,-5.763790404110955,6.622245810143749
162,6.978814115410483,6,39.0728846924629,True,1.8127115307537103,18.127115307537103,57.2
163,7.005745077457024,8,52.645960619656194,True,0.8013031613688447,8.013031613688447,60.65899223334464
164,6.860895175661881,4,25.243580702647524,True,0.45859154140247965,4.585915414024797,29.82949611667232
165,6.772459203263794,2,11.944918406527588,True,-0.532267259638384,-5.322672596383839,6.622245810143749
166,6.950966841308061,10,65.5096684130806,True,-2.8398439362361865,-28.398439362361863,37.11122905071874
167,6.860098289573814,2,12.120196579147628,True,-0.5497950769003879,-5.497950769003879,6.622245810143749
168,6.845820215389872,6,38.274921292339236,True,1.892507870766077,18.925078707660766,57.2
169,6.872506216380221,8,51.58004973104177,True,0.9078942502302872,9.078942502302873,60.65899223334464
170,6.727541594377565,4,24.710166377510262,True,0.5119329739162058,5.119329739162058,29.82949611667232
171,6.638763642891622,2,11.677527285783244,True,-0.5055281475639495,-5.055281475639495,6.622245810143749
172,6.817216160214795,10,64.17216160214795,True,-2.706093255142921,-27.06093255142921,37.11122905071874
173,6.726229858915124,2,11.852459717830248,True,-0.52302139076865,-5.230213907686499,6.622245810143749
174,6.711882980584093,6,37.47129788350456,True,1.972870211649544,19.72870211649544,57.2
175,6.738340465799758,8,50.506723726398064,True,1.0152268506946576,10.152268506946577,60.65899223334464
176,6.59326879493986,4,24.17307517975944,True,0.565642093691288,5.65642093691288,29.82949611667232
177,6.504170883252029,2,11.408341766504059,True,-0.47860959563603095,-4.78609595636031,6.622245810143749
178,6.682572997907702,10,62.82572997907701,True,-2.5714500928358275,-25.714500928358277,37.11122905071874
179,6.591477170926451,2,11.582954341852902,True,-0.49607085317091537,-4.9607085317091535,6.622245810143749
180,6.57706622053627,6,36.662397323217625,True,2.053760267678238,20.537602676782377,57.2
181,6.603310030144107,8,49.42648024115286,True,1.1232511992191783,11.232511992191782,60.65899223334464
182,6.458138235230311,4,23.632552940921244,True,0.6196943175751077,6.196943175751077,29.82949611667232
183,6.36874032205464,2,11.13748064410928,True,-0.45152348339655307,-4.515234833965531,6.622245810143749
184,6.547096194644553,10,61.47096194644553,True,-2.4359732895726784,-24.359732895726786,37.11122905071874
185,6.455898233586604,2,11.311796467173208,True,-0.4689550657029459,-4.689550657029459,6.622245810143749
186,6.441427470023945,6,35.84856482014367,True,2.135143517985633,21.35143517985633,57.2
187,6.467471041724405,8,48.33976833379524,True,1.2319223899549399,12.3192238995494,60.65899223334464
188,6.3222053950765345,4,23.08882158030614,True,0.6740674536366182,6.740674536366182,29.82949611667232
189,6.232525628182129,2,10.865051256364259,True,-0.424280544622051,-4.24280544622051,6.622245810143749
190,6.41083894416699,10,60.1083894416699,True,-2.2997160390951157,-22.99716039095116,37.11122905071874
191,6.319545516976353,2,11.039091033952706,True,-0.4416845223808957,-4.4168452238089575,6.622245810143749
192,6.30501878712286,6,35.03011272273716,True,2.216988727726284,22.16988727726284,57.2
193,6.330874327745387,8,47.2469946219631,True,1.3411997611381543,13.411997611381544,60.65899223334464
194,6.1855205288657364,4,22.542082115462946,True,0.7287414001209374,7.287414001209374,29.82949611667232
195,6.095575457724068,2,10.591150915448136,True,-0.39689051053043867,-3.968905105304387,6.622245810143749
196,6.2738494953418655,10,58.73849495341865,True,-2.1627265902699913,-21.62726590269991,37.11122905071874
197,6.1824666377631985,2,10.764933275526397,True,-0.41426874653826484,-4.142687465382648,6.622245810143749
198,6.167887428090155,6,34.20732456854093,True,2.2992675431459073,22.99267543145907,57.2
199,6.1935660596846445,8,46.14852847747716,True,1.4510463755867484,14.510463755867484,60.65899223334464
200,6.0481293030984125,4,21.99251721239365,True,0.783697890427867,7.83697890427867,29.82949611667232
201,5.95793406120966,2,10.315868122419321,True,-0.3693622312275572,-3.693622312275572,6.622245810143749
202,6.1361717478823925,10,57.36171747882393,True,-2.0250488428105187,-20.250488428105182,37.11122905071874
203,6.044704940917859,2,10.489409881835718,True,-0.38671640716919686,-3.8671640716919686,6.622245810143749
204,6.03007642123498,6,33.380458527409886,True,2.3819541472590116,23.819541472590117,57.2
205,6.055588306083209,8,45.04470644866567,True,1.561428578467897,15.61428578467897,60.65899223334464
206,5.910073339403583,4,21.440293357614333,True,0.8389202759057988,8.389202759057987,29.82949611667232
207,5.819641801346063,2,10.039283602692127,True,-0.34170377925483775,-3.4170377925483777,6.622245810143749
208,5.997845760810857,10,55.97845760810857,True,-1.8867228557389821,-18.867228557389826,37.11122905071874
209,5.90629999666883,2,10.21259999333766,True,-0.3590354183193911,-3.590354183193911,6.622245810143749
210,5.891625057418886,6,32.54975034451332,True,2.4650249655486687,24.650249655486682,57.2
211,5.91697950551846,8,43.935836044147685,True,1.6723156189196957,16.723156189196956,60.65899223334464
212,5.771390679382664,4,20.885562717530657,True,0.8943933399141664,8.943933399141663,29.82949611667232
213,5.680735596676897,2,9.761471193353794,True,-0.3139225383210045,-3.1392253832100447,6.622245810143749
214,5.858908188591333,10,54.58908188591333,True,-1.747785283519459,-17.47785283519459,37.11122905071874
215,5.767288027119265,2,9.93457605423853,True,-0.3312330244094781,-3.312330244094781,6.622245810143749
216,5.752569311330112,6,31.71541586798067,True,2.5484584132019323,25.48458413201933,57.2
217,5.777774873223219,8,42.822198985785754,True,1.7836793247558886,17.836793247558887,60.65899223334464
218,5.63211618443059,4,20.32846473772236,True,0.950103137894996,9.50103137894996,29.82949611667232
219,5.541249303557192,2,9.482498607114385,True,-0.2860252796970636,-2.860252796970636,6.622245810143749
220,5.719392656958783,10,53.19392656958783,True,-1.608269751886909,-16.08269751886909,37.11122905071874
221,5.6277022741615,2,9.655404548323,True,-0.30331587381792513,-3.0331587381792513,6.622245810143749
222,5.612942204949711,6,30.877653229698264,True,2.6322346770301737,26.322346770301735,57.2
223,5.638006752233708,8,41.704054017869666,True,1.8954938215474975,18.954938215474975,60.65899223334464
224,5.492281881168873,4,19.769127524675493,True,1.0060368591996827,10.060368591996827,29.82949611667232
225,5.401214046481174,2,9.202428092962348,True,-0.25801822828185994,-2.5801822828185994,6.622245810143749
226,5.579330088197175,10,51.793300881971746,True,-1.4682071831253005,-14.682071831253003,37.11122905071874
227,5.48757331813609,2,9.37514663627218,True,-0.27529008261284316,-2.752900826128432,6.622245810143749
228,5.47277412248625,6,30.0366447349175,True,2.7163355265082503,27.1633552650825,57.2
229,5.497704917919128,8,40.581639343353025,True,2.0077352889991618,20.077352889991616,60.65899223334464
230,5.351917261146893,4,19.207669044587572,True,1.0621827072084749,10.621827072084749,29.82949611667232
231,5.26065850494031,2,8.921317009880621,True,-0.2299071199736872,-2.299071199736872,6.622245810143749
232,5.438748983824612,10,50.387489838246125,True,-1.327626078752738,-13.27626078752738,37.11122905071874
233,5.346929354952568,2,9.093858709905136,True,-0.24716128997613876,-2.4716128997613875,6.622245810143749
234,5.332093084362297,6,29.192558506173782,True,2.8007441493826213,28.007441493826217,57.2
235,5.356896843137779,8,39.455174745102234,True,2.120381748824241,21.203817488242407,60.65899223334464
236,5.211049541899658,4,18.64419816759863,True,1.118529794907369,11.18529794907369,29.82949611667232
237,5.119609163514321,2,8.639218327028642,True,-0.20169725168848932,-2.016972516884893,6.622245810143749
238,5.297675671217186,10,48.976756712171856,True,-1.1865527661453115,-11.865527661453115,37.11122905071874
239,5.205796438012634,2,8.811592876025268,True,-0.21893470658815187,-2.1893470658815186,6.622245810143749
240,5.190924986486997,6,28.34554991892198,True,2.885445008107802,28.85445008107802,57.2
