t,price,attendance,profit,feasible,mean_agent_utility,agent_surplus,social_welfare
0,2.0,0,-1.0,False,0.0,-0.0,-1.0
1,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
2,2.0,1,0.7,False,0.04935220877729622,0.49352208777296225,1.1935220877729622
3,6.0,2,10.4,True,-0.37777541898562517,-3.7777541898562514,6.622245810143749
4,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
5,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
6,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
7,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
8,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
9,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
10,2.0,6,9.2,True,4.8,48.0,57.2
11,6.0,1,4.7,False,-0.3506477912227038,-3.5064779122270378,1.1935220877729622
12,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
13,2.0,7,10.9,True,5.221716282347359,52.21716282347357,63.11716282347357
14,2.0,1,0.7,False,0.04935220877729622,0.49352208777296225,1.1935220877729622
15,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
16,2.0,7,10.9,True,5.221716282347357,52.21716282347357,63.11716282347357
17,6.0,0,-1.0,False,0.0,-0.0,-1.0
18,2.0,1,0.7,False,0.04935220877729622,0.49352208777296225,1.1935220877729622
19,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
20,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
21,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
22,2.0,7,10.9,True,5.221716282347359,52.21716282347357,63.11716282347357
23,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
24,10.0,0,-1.0,False,0.0,-0.0,-1.0
25,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
26,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
27,2.0,6,9.2,True,4.8,48.0,57.2
28,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
29,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
30,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
31,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
32,2.0,6,9.2,True,4.8,48.0,57.2
33,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
34,10.0,0,-1.0,False,0.0,-0.0,-1.0
35,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
36,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
37,2.0,7,10.9,True,5.221716282347359,52.21716282347357,63.11716282347357
38,10.0,0,-1.0,False,0.0,-0.0,-1.0
39,10.0,0,-1.0,False,0.0,-0.0,-1.0
40,6.0,1,4.7,False,-0.3506477912227038,-3.5064779122270378,1.1935220877729622
41,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
42,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
43,10.0,0,-1.0,False,0.0,-0.0,-1.0
44,2.0,1,0.7,False,0.04935220877729622,0.49352208777296225,1.1935220877729622
45,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
46,2.0,6,9.2,True,4.8,48.0,57.2
47,10.0,0,-1.0,False,0.0,-0.0,-1.0
48,6.0,0,-1.0,False,0.0,-0.0,-1.0
49,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
50,2.0,7,10.9,True,5.221716282347359,52.21716282347357,63.11716282347357
51,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
52,2.0,6,9.2,True,4.8,48.0,57.2
53,2.0,0,-1.0,False,0.0,-0.0,-1.0
54,10.0,0,-1.0,False,0.0,-0.0,-1.0
55,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
56,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
57,10.0,0,-1.0,False,0.0,-0.0,-1.0
58,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
59,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
60,10.0,0,-1.0,False,0.0,-0.0,-1.0
61,6.0,1,4.7,False,-0.3506477912227038,-3.5064779122270378,1.1935220877729622
62,6.0,3,16.1,True,0.019591979137900138,0.1959197913790014,16.295919791379003
63,2.0,7,10.9,True,5.221716282347359,52.21716282347357,63.11716282347357
64,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
65,2.0,6,9.2,True,4.8,48.0,57.2
66,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
67,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
68,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
69,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
70,2.0,2,2.4,True,0.4222245810143749,4.222245810143749,6.622245810143749
71,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
72,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
73,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
74,2.0,1,0.7,False,0.04935220877729622,0.49352208777296225,1.1935220877729622
75,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
76,2.0,1,0.7,False,0.04935220877729622,0.49352208777296225,1.1935220877729622
77,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
78,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
79,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
80,2.0,7,10.9,True,5.221716282347357,52.21716282347357,63.11716282347357
81,6.0,0,-1.0,False,0.0,-0.0,-1.0
82,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
83,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
84,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
85,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
86,6.0,1,4.7,False,-0.3506477912227038,-3.5064779122270378,1.1935220877729622
87,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
88,2.0,9,14.3,True,3.6587759374137008,36.58775937413701,50.887759374137005
89,6.0,2,10.4,True,-0.37777541898562517,-3.7777541898562514,6.622245810143749
90,2.0,7,10.9,True,5.221716282347359,52.21716282347357,63.11716282347357
91,10.0,0,-1.0,False,0.0,-0.0,-1.0
92,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
93,2.0,9,14.3,True,3.6587759374137008,36.58775937413701,50.887759374137005
94,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
95,10.0,0,-1.0,False,0.0,-0.0,-1.0
96,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
97,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
98,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
99,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
100,10.0,0,-1.0,False,0.0,-0.0,-1.0
101,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
102,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
103,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
104,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
105,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
106,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
107,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
108,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
109,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
110,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
111,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
112,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
113,2.0,6,9.2,True,4.8,48.0,57.2
114,10.0,0,-1.0,False,0.0,-0.0,-1.0
115,10.0,0,-1.0,False,0.0,-0.0,-1.0
116,10.0,0,-1.0,False,0.0,-0.0,-1.0
117,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
118,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
119,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
120,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
121,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
122,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
123,10.0,0,-1.0,False,0.0,-0.0,-1.0
124,10.0,0,-1.0,False,0.0,-0.0,-1.0
125,10.0,0,-1.0,False,0.0,-0.0,-1.0
126,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
127,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
128,2.0,9,14.3,True,3.6587759374137008,36.58775937413701,50.887759374137005
129,6.0,2,10.4,True,-0.37777541898562517,-3.7777541898562514,6.622245810143749
130,2.0,9,14.3,True,3.6587759374137008,36.58775937413701,50.887759374137005
131,6.0,1,4.7,False,-0.3506477912227038,-3.5064779122270378,1.1935220877729622
132,10.0,0,-1.0,False,0.0,-0.0,-1.0
133,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
134,2.0,7,10.9,True,5.221716282347359,52.21716282347357,63.11716282347357
135,10.0,0,-1.0,False,0.0,-0.0,-1.0
136,10.0,0,-1.0,False,0.0,-0.0,-1.0
137,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
138,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
139,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
140,10.0,0,-1.0,False,0.0,-0.0,-1.0
141,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
142,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
143,10.0,0,-1.0,False,0.0,-0.0,-1.0
144,10.0,0,-1.0,False,0.0,-0.0,-1.0
145,10.0,0,-1.0,False,0.0,-0.0,-1.0
146,10.0,0,-1.0,False,0.0,-0.0,-1.0
147,10.0,1,8.7,False,-0.7506477912227038,-7.506477912227037,1.1935220877729622
148,10.0,2,18.4,True,-1.177775418985625,-11.777754189856251,6.622245810143749
149,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
150,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
151,10.0,0,-1.0,False,0.0,-0.0,-1.0
152,10.0,0,-1.0,False,0.0,-0.0,-1.0
153,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
154,2.0,3,4.1,True,1.2195919791379002,12.195919791379001,16.295919791379003
155,2.0,10,16.0,True,2.1111229050718743,21.11122905071874,37.11122905071874
156,2.0,0,-1.0,False,0.0,-0.0,-1.0
157,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
158,2.0,8,12.6,True,4.805899223334464,48.05899223334464,60.65899223334464
159,2.0,4,5.8,True,2.402949611667232,24.02949611667232,29.82949611667232
160,2.0,5,7.5,True,3.7297973445338273,37.29797344533827,44.79797344533827
161,2.0,7,10.9,True,5.221716282347357,52.21716282347357,63.11716282347357
162,10.0,0,-1.0,False,0.0,-0.0,-1.0
163,2.0,6,9.2,True,4.8,48.0,57.2
164,10.0,3,28.1,True,-1.1804080208621,-11.804080208620999,16.295919791379003
165,2.0,10,16.0,True,2.1111229050718743,21.11122905071874,37.11122905071874
166,6.0,3,16.1,True,0.019591979137900138,0.1959197913790014,16.295919791379003
167,2.0,10,16.0,True,2.1111229050718743,21.11122905071874,37.11122905071874
168,2.0,1,0.7,False,0.04935220877729622,0.49352208777296225,1.1935220877729622
