agent_type,bar_type,condition,seed,attendance_mean,price_mean,profit_mean
heuristic,passive,public_feedback,0,5.333333333333333,10.0,50.733333333333334
heuristic,passive,public_feedback,1,5.663333333333333,10.0,53.93433333333333
heuristic,passive,public_feedback,2,5.67,10.0,53.999
heuristic,passive,public_feedback,3,6.3,10.0,60.110000000000014
heuristic,passive,public_feedback,4,5.596666666666667,10.0,53.287666666666674
heuristic,passive,public_feedback,5,5.77,10.0,54.969
heuristic,passive,public_feedback,6,5.8966666666666665,10.0,56.19766666666666
heuristic,passive,public_feedback,7,5.736666666666666,10.0,54.64566666666667
heuristic,passive,corrected_subset_observability,0,2.53,10.0,23.541
heuristic,passive,corrected_subset_observability,1,2.4766666666666666,10.0,23.023666666666667
heuristic,passive,corrected_subset_observability,2,2.71,10.0,25.287000000000003
heuristic,passive,corrected_subset_observability,3,2.493333333333333,10.0,23.185333333333336
heuristic,passive,corrected_subset_observability,4,3.14,10.0,29.458
heuristic,passive,corrected_subset_observability,5,2.486666666666667,10.0,23.12066666666667
heuristic,passive,corrected_subset_observability,6,2.9233333333333333,10.0,27.356333333333332
heuristic,passive,corrected_subset_observability,7,3.1033333333333335,10.0,29.102333333333334
heuristic,regression,public_feedback,0,5.333333333333333,6.594085080232092,31.34349603519713
heuristic,regression,public_feedback,1,5.663333333333333,7.294533185868204,45.174444301745766
heuristic,regression,public_feedback,2,5.67,6.3824114007376815,33.056692394747294
heuristic,regression,public_feedback,3,6.3,6.207547513459797,46.298853190064136
heuristic,regression,public_feedback,4,5.596666666666667,7.606586428447366,32.62494779894484
heuristic,regression,public_feedback,5,5.77,7.436524006627402,34.843985521979775
heuristic,regression,public_feedback,6,5.8966666666666665,6.325707867877593,33.87924479705667
heuristic,regression,public_feedback,7,5.736666666666666,6.551036414144237,36.59333836043191
heuristic,regression,corrected_subset_observability,0,2.53,5.760027569854704,14.08329273527157
heuristic,regression,corrected_subset_observability,1,2.4766666666666666,7.458902488594499,17.792984634768484
heuristic,regression,corrected_subset_observability,2,2.71,3.573463140063236,8.318489893586278
heuristic,regression,corrected_subset_observability,3,2.493333333333333,6.181714217381609,15.13476482605202
heuristic,regression,corrected_subset_observability,4,3.14,7.0461807591115155,20.57218966453147
heuristic,regression,corrected_subset_observability,5,2.486666666666667,7.182053439706338,17.322902958869268
heuristic,regression,corrected_subset_observability,6,2.9233333333333333,9.575452225250958,26.113173398404033
heuristic,regression,corrected_subset_observability,7,3.1033333333333335,8.541878091528494,24.84091116803057
heuristic,q_learning,public_feedback,0,5.65,7.013333333333334,40.67166666666667
heuristic,q_learning,public_feedback,1,5.666666666666667,6.306666666666667,34.43333333333333
heuristic,q_learning,public_feedback,2,5.656666666666666,4.513333333333334,15.363
heuristic,q_learning,public_feedback,3,6.32,6.4,28.463999999999995
heuristic,q_learning,public_feedback,4,5.793333333333333,7.5,41.34866666666667
heuristic,q_learning,public_feedback,5,5.776666666666666,5.9,32.040333333333336
heuristic,q_learning,public_feedback,6,5.89,5.08,32.16633333333333
heuristic,q_learning,public_feedback,7,5.63,8.233333333333333,46.81766666666667
heuristic,q_learning,corrected_subset_observability,0,2.7066666666666666,3.5,7.567999999999999
heuristic,q_learning,corrected_subset_observability,1,3.12,5.926666666666667,16.330666666666662
heuristic,q_learning,corrected_subset_observability,2,2.08,8.833333333333334,16.236000000000004
heuristic,q_learning,corrected_subset_observability,3,3.04,7.48,20.607999999999997
heuristic,q_learning,corrected_subset_observability,4,3.1466666666666665,9.026666666666667,25.98933333333333
heuristic,q_learning,corrected_subset_observability,5,2.11,9.18,17.440333333333335
heuristic,q_learning,corrected_subset_observability,6,2.953333333333333,3.2666666666666666,7.267333333333334
heuristic,q_learning,corrected_subset_observability,7,3.046666666666667,4.293333333333333,11.239333333333333
heuristic,gp,public_feedback,0,5.65,9.887999999999998,53.293000000000006
heuristic,gp,public_feedback,1,5.663333333333333,9.642666666666667,52.99566666666667
heuristic,gp,public_feedback,2,5.666666666666667,9.722666666666667,53.412
heuristic,gp,public_feedback,3,6.326666666666667,8.255999999999998,55.23266666666667
heuristic,gp,public_feedback,4,5.746666666666667,9.184,51.26533333333334
heuristic,gp,public_feedback,5,5.79,9.653333333333334,54.02166666666667
heuristic,gp,public_feedback,6,5.793333333333333,9.765333333333333,54.34199999999999
heuristic,gp,public_feedback,7,5.756666666666667,9.493333333333334,53.87966666666667
heuristic,gp,corrected_subset_observability,0,2.0933333333333333,9.722666666666667,18.46266666666667
heuristic,gp,corrected_subset_observability,1,2.35,9.482666666666667,20.21633333333334
heuristic,gp,corrected_subset_observability,2,2.4766666666666666,9.797333333333334,22.389000000000003
heuristic,gp,corrected_subset_observability,3,3.1266666666666665,9.909333333333334,28.832666666666665
heuristic,gp,corrected_subset_observability,4,3.1733333333333333,9.818666666666667,28.954666666666665
heuristic,gp,corrected_subset_observability,5,3.1033333333333335,9.861333333333334,28.505
heuristic,gp,corrected_subset_observability,6,3.1633333333333336,9.882666666666667,29.20433333333333
heuristic,gp,corrected_subset_observability,7,3.0933333333333333,9.877333333333333,28.44
bayesian,passive,public_feedback,0,2.37,10.0,21.989
bayesian,passive,public_feedback,1,2.4966666666666666,10.0,23.217666666666663
bayesian,passive,public_feedback,2,2.67,10.0,24.898999999999997
bayesian,passive,public_feedback,3,2.796666666666667,10.0,26.127666666666663
bayesian,passive,public_feedback,4,2.2466666666666666,10.0,20.792666666666666
bayesian,passive,public_feedback,5,2.59,10.0,24.122999999999998
bayesian,passive,public_feedback,6,2.3966666666666665,10.0,22.247666666666664
bayesian,passive,public_feedback,7,2.1933333333333334,10.0,20.275333333333332
bayesian,passive,corrected_subset_observability,0,1.6366666666666667,10.0,14.87566666666667
bayesian,passive,corrected_subset_observability,1,1.85,10.0,16.945
