agent_type,bar_type,seed,attendance_mean,price_mean,profit_mean,welfare_mean
heuristic,passive,0,5.332,10.0,50.72039999999999,33.07224119156237
heuristic,passive,1,5.666,10.0,53.9602,33.110824061090185
heuristic,passive,2,5.668,10.0,53.9796,26.549397584054994
heuristic,passive,3,6.327,10.0,60.371900000000004,29.087834470505243
heuristic,passive,4,5.599,10.0,53.310300000000005,34.97569108684883
heuristic,passive,5,5.777,10.0,55.0369,39.902848291984924
heuristic,passive,6,5.899,10.0,56.2203,27.703041589877902
heuristic,passive,7,5.75,10.0,54.775,34.31473904886811
heuristic,passive,8,5.779,10.0,55.0563,40.011827105194996
heuristic,passive,9,5.745,10.0,54.7265,40.76608673109743
heuristic,passive,10,5.835,10.0,55.5995,35.415355829357445
heuristic,passive,11,5.725,10.0,54.532500000000006,40.91856096816837
heuristic,passive,12,5.665,10.0,53.9505,36.869553397101114
heuristic,passive,13,5.995,10.0,57.151499999999984,33.59197703956952
heuristic,passive,14,5.626,10.0,53.572199999999995,34.44886522116972
heuristic,passive,15,5.725,10.0,54.5325,33.86778427451603
heuristic,passive,16,5.602,10.0,53.33940000000001,37.216902736052376
heuristic,passive,17,5.665,10.0,53.9505,36.86502325233176
heuristic,passive,18,5.66,10.0,53.902,30.502067817185615
heuristic,passive,19,5.663,10.0,53.931099999999994,23.369255102074437
heuristic,passive,20,5.666,10.0,53.9602,33.09137915424975
heuristic,passive,21,5.709,10.0,54.377300000000005,32.31876535588772
heuristic,passive,22,5.664,10.0,53.9408,38.51055189575162
heuristic,passive,23,5.605,10.0,53.36849999999999,33.73965882138147
heuristic,passive,24,5.795,10.0,55.2115,32.42525750432732
heuristic,passive,25,5.833,10.0,55.5801,35.3362535735701
heuristic,passive,26,5.498,10.0,52.330600000000004,32.215066969542995
heuristic,passive,27,5.625,10.0,53.5625,34.53834855500697
heuristic,passive,28,5.663,10.0,53.93110000000001,25.922770838140867
heuristic,passive,29,5.864,10.0,55.880799999999994,36.565139753801894
heuristic,passive,30,5.667,10.0,53.969899999999996,36.89965225355787
heuristic,passive,31,5.8,10.0,55.260000000000005,35.6957565660805
heuristic,passive,32,5.799,10.0,55.2503,32.48725700943676
heuristic,passive,33,5.896,10.0,56.191199999999995,27.807844541583783
heuristic,passive,34,5.912,10.0,56.346399999999996,35.05182297637082
heuristic,passive,35,5.834,10.0,55.589800000000004,36.82010896945866
heuristic,passive,36,5.667,10.0,53.969899999999996,23.503219771718033
heuristic,passive,37,5.749,10.0,54.7653,40.871932958764724
heuristic,passive,38,5.713,10.0,54.4161,36.86293826140769
heuristic,passive,39,5.627,10.0,53.581900000000005,34.397703056794896
heuristic,passive,40,5.835,10.0,55.5995,38.255130045733424
heuristic,passive,41,5.7,10.0,54.29,28.463770407781915
heuristic,passive,42,5.334,10.0,50.739799999999995,33.04181997895175
heuristic,passive,43,5.751,10.0,54.784699999999994,40.90221361854567
heuristic,passive,44,5.748,10.0,54.7556,39.298104208555266
heuristic,passive,45,5.697,10.0,54.26089999999999,33.11448017683243
heuristic,passive,46,5.75,10.0,54.775,34.28274109457528
heuristic,passive,47,5.67,10.0,53.999,36.912784919772456
heuristic,passive,48,5.834,10.0,55.589800000000004,35.46142675436992
heuristic,passive,49,5.605,10.0,53.3685,37.230442144685995
heuristic,passive,50,5.996,10.0,57.161199999999994,32.28632890347932
heuristic,passive,51,5.504,10.0,52.3888,19.302047044532195
heuristic,passive,52,5.669,10.0,53.9893,36.865755477070664
heuristic,passive,53,5.769,10.0,54.959300000000006,39.92522261041902
heuristic,passive,54,5.724,10.0,54.522800000000004,37.636960773259545
